অনুসন্ধান এবং প্রতিস্থাপন
:w,"ফাইলটি লিখুন (সংরক্ষণ করুন), কিন্তু প্রস্থান করবেন না"
:w !sudo tee %,sudo ব্যবহার করে বর্তমান ফাইল লিখুন
:wq or :x or ZZ,লিখুন (সংরক্ষণ করুন) এবং প্রস্থান করুন
:q,প্রস্থান করুন (অসংরক্ষিত পরিবর্তন থাকলে ব্যর্থ হয়)
:q! or ZQ,প্রস্থান করুন এবং অসংরক্ষিত পরিবর্তনগুলি ফেলে দিন(unsave)
:wqa,লিখুন (সংরক্ষণ করুন) এবং সমস্ত ট্যাবে প্রস্থান করুন
/pattern,প্যাটার্ন অনুসন্ধান করুন
?pattern,প্যাটার্নের জন্য পিছনের দিকে অনুসন্ধান করুন
\vpattern,'very magic' প্যাটার্ন: অ
n,একই দিকে অনুসন্ধান পুনরাবৃত্তি করুন
N,বিপরীত দিকে অনুসন্ধান পুনরাবৃত্তি করুন
:%s/old/new/g,সমস্ত পুরানো ফাইল জুড়ে নতুন দিয়ে প্রতিস্থাপন করুন
:%s/old/new/gc,নিশ্চিতকরণ সহ সমস্ত পুরানো ফাইলটি নতুন দিয়ে প্রতিস্থাপন করুন
:noh[lsearch],সার্চ ম্যাচ হাইলাইটিং অপসারণ
